id,dex
SRR2422918,control
SRR2422919,control
SRR2422920,control
SRR2422921,control
SRR2422922,control
SRR2422923,control
SRR2422924,control
SRR2422925,control
SRR2422926,disease
SRR2422927,disease
SRR2422928,disease
SRR2422929,disease
SRR2422930,disease
SRR2422931,disease
SRR2422932,disease
SRR2422933,disease
SRR2422934,disease
